Count of,Grade,,,,
Course,A,B,C,D,F
ACTG-04A,937,558,347,98,423
ACTG-04B,596,422,270,42,124
ACTG-31,152,51,21,8,30
ACTG-51,331,114,64,20,104
ACTG-52,99,46,33,14,25
ACTG-53,83,47,30,8,33
AGAB-01,47,12,14,5,15
AGAB-02,39,25,11,3,18
AGAB-03,25,17,5,0,17
AGAB-05,109,79,39,25,66
AGAB-07,34,13,10,7,32
AGAB-08,63,29,19,6,29
AGAB-30A,232,24,16,2,0
AGAB-30B,42,1,0,1,0
AGAB-30C,19,0,0,0,0
AGAB-31A,38,3,1,0,0
AGAB-31B,21,0,0,0,0
AGAS-01,87,84,56,16,77
AGAS-02,41,29,12,6,3
AGAS-03,126,74,38,13,14
AGAS-04,56,38,7,3,6
AGAS-10,24,10,4,0,1
AGAS-11,10,11,3,1,0
AGAS-12,29,29,3,0,1
AGAS-13,13,13,6,2,1
AGAS-14,7,11,5,0,3
AGAS-15,9,12,4,4,2
AGAS-16,98,8,0,0,2
AGAS-24,24,5,1,0,3
AGBS-10,47,29,15,8,17
AGBS-11,58,52,27,15,54
AGBS-12,42,15,20,5,24
AGBS-13,32,14,16,0,13
AGBS-17,29,14,20,3,10
AGBS-18,60,29,22,8,20
AGBS-30A,25,1,0,0,0
AGBS-30B,7,5,0,0,0
AGBS-30C,27,8,6,2,0
AGBS-31A,27,0,1,0,0
AGBS-31B,13,3,2,0,0
AGBS-31C,11,0,0,0,0
AGEH-01,190,58,30,7,7
AGEH-02,8,1,1,0,0
AGEH-03,22,7,4,1,2
AGEH-04,9,6,3,1,1
AGEH-05,24,9,13,2,12
AGEH-06,16,5,3,0,5
AGEH-07,9,4,1,1,0
AGEH-08,3,1,0,0,0
AGEH-24,6,0,0,0,0
AGMA-01,90,16,14,0,6
AGMA-02,107,22,3,0,0
AGMA-05,47,6,2,0,0
AGMA-06,48,29,25,2,3
AGMA-07,71,12,7,0,0
AGMA-11,49,29,8,0,2
AGMA-12,64,21,1,0,0
AGMA-13,63,12,10,1,2
AGMA-14,50,25,8,4,1
AGMA-15,41,27,13,5,1
AGMA-16,52,22,7,1,0
AGMA-17,47,16,12,3,2
AGMA-18,55,17,6,1,0
AGMA-19,57,14,9,0,0
AGMA-20,64,21,2,1,0
AGMA-21,14,36,23,1,5
AGPS-01,427,194,129,61,122
AGPS-02,14,7,6,1,15
AGPS-03,24,18,14,2,7
AGPS-05,160,144,111,39,133
AGPS-06,10,8,11,1,1
AGPS-10,6,9,1,1,1
AGPS-11,25,21,4,3,2
AGPS-12,14,6,0,0,0
AGPS-13,13,3,2,0,1
AGPS-14,6,4,1,0,0
AGRI-01,14,1,1,0,0
AGRI-10,58,87,41,7,32
ALLH-24,55,3,2,0,2
ALLH-63,545,241,43,0,20
ALLH-67,2139,1117,394,69,355
ANSC-10,37,71,45,16,41
ANSC-12,16,26,15,1,9
ANSC-13,74,40,17,9,10
ANSC-14,13,18,17,2,6
ANSC-16,9,6,0,0,2
ANSC-17,3,7,1,1,0
ANSC-18,5,1,3,0,0
ANSC-19,3,18,2,1,2
ANSC-24,12,0,0,0,0
ANSC-30,76,17,1,0,0
ANTH-01,176,154,159,26,50
ANTH-02,640,255,132,39,154
ANTH-10,17,1,0,1,0
ANTH-12,14,6,1,0,0
AOM-30,1001,369,207,59,125
AOM-43,248,110,68,44,133
AOM-50B,360,107,65,11,40
AOM-50C,414,46,19,8,20
